,File Name,Original Transcription,Model Transcription
0,19-227-0000,chapter thirty catherine's disposition was not naturally sedentary nor had her habits been ever very industrious but whatever might hitherto have been her defects of that sort,chapter 30762 session was naturally 7:309 habits pin everwear industriesforever my favourite you have done head effects of that sort
1,19-227-0001,her mother could not but perceive them now to be greatly increased she could neither sit still nor employ herself for ten minutes together walking round the garden and orchard again and again as if nothing but motion was voluntary,mother could not receive them now to be greatly increasedshekhar nearest store not employ yourself for 10 minutes togetherwalking around the garden and orchard can it againas if nothing but motion was voluntary
2,19-227-0002,and it seemed as if she could even walk about the house rather than remain fixed for any time in the parlour her loss of spirits was a yet greater alteration in her rambling and her idleness,seemed as if she could even walked about the house rather than women fixed for any time in the parlourlaws of spirits was a greater operationin her rambling and iron as
3,19-227-0003,but when a third night's rest had neither restored her cheerfulness improved her in useful activity nor given her a greater inclination for needlework she could no longer refrain from the gentle reproof of,the night's rest of the restored hatya for thisimproved and useful activitynot given her a greater in condition for neuro workticket no longer refrain from the gentle reprove
4,19-227-0004,my dear catherine i am afraid you are growing quite a fine lady i do not know when poor richard's cravats would be done if he had no friend but you your head runs too much upon bath,my dear friendi am afraid you are growing quite a fine veryi do not know when 4 which are described as will be done if you have no friends but youyou had done too much on back
5,19-227-0005,catherine took up her work directly saying in a dejected voice that her head did not run upon bath much then you are fretting about general tilney and that is very simple of you,catherine toka forward to directly saying in a digital voice thatdinner point badmatchcan you ask writing about general theory and where is very simple love you
6,19-227-0006,for ten to one whether you ever see him again you should never fret about trifles after a short silence i hope my catherine you are not getting out of humour with home because it is not so grand as northanger,10 to 1 what are you ever see him againyou should never try to get riflesrefresher sciencei hope my kasim and you are not getting out of humorous home because it is not so grand does not
7,19-227-0007,that would be turning your visit into an evil indeed wherever you are you should always be contented but especially at home because there you must spend the most of your time i did not quite like at breakfast,would be turning your visit into an evil indeedwherever you are you should always be contentedorchestra at homebecause there you must stand the most of your timei did not quite like at breakfast
8,19-227-0008,to hear you talk so much about the french bread at northanger i am sure i do not care about the bread it is all the same to me what i eat there is a very clever essay in one of the books upstairs upon much such a subject,do you talk so much about the french bread and not sayingi am sure i did not care about the breadit is all the same to me what i eatthere is a very clever essay in one of the books upstairs up on much such a subject
9,19-227-0009,about young girls that have been spoilt for home by great acquaintance the mirror i think i will look it out for you some day or other because i am sure it will do you good catherine said no more and with an endeavour to do right,young girl i have in store for home by great acquaintancethe mirror i thinki will look out for you some day or other because i am sure to you goodcatherine said now more and with an endeavour to do right
10,19-227-0010,applied to her work but after a few minutes sunk again without knowing it herself into languor and listlessness moving herself in her chair from the irritation of weariness much oftener than she moved her needle,apply to havocafter few minutes sangh again without knowing it yourselfinsulina and restlessnessmoving herself in her chair from irritation awarenessmuch of an hour then she moved her niro
11,19-227-0011,hastily left the room to fetch the book in question anxious to lose no time in attacking so dreadful a malady it was some time before she could find what she looked for and other family matters occurring to detain her,hate story was around to fix the broken questionanxious to lose no time in a talking so dreadfully melodythere was some time before she could find what you're looking for and other family matters a current to retain her
12,19-227-0012,a quarter of an hour had elapsed ere she returned downstairs with the volume from which so much was hoped her avocations above having shut out all noise but what she created herself,a quarter of an hour had elapsed or she returned downstairs with the volume from which so much was helpedavocations about having shut out all noise but she created herself
13,19-227-0013,she knew not that a visitor had arrived within the last few minutes till on entering the room the first object she beheld was a young man whom she had never seen before,can you na visitor had arrived within the last few minuteson entering the roomthe first object she be held was a young man whom she had never seen before
14,19-227-0014,with a look of much respect he immediately rose and being introduced to her by her conscious daughter as mister henry tilney with the embarrassment of real sensibility,much respect he immediately eurosand being introduced to her by her conscious daughter asmr henry tell meembarrassment of rio sensibility
15,19-227-0015,began to apologize for his appearance there acknowledging that after what had passed he had little right to expect a welcome at fullerton and stating his impatience to be assured of miss morland's having reached her home in safety,priyanshu apologise for his appearance thatacknowledging that after i had passed he had the right to expect the volcanic for latinand stating his impatience to be assured of ms small and having reached for home in safety
16,19-227-0016,as the cause of his intrusion he did not address himself to an uncandid judge or a resentful heart far from comprehending him or his sister in their father's misconduct,as the cause of his equationaddressed himself to win an candid judge or a reason for heartparson comprehending him or his sister in a father is misconduct
17,19-227-0017,missus morland had been always kindly disposed towards each and instantly pleased by his appearance received him with the simple professions of unaffected benevolence thanking him for such an attention to her daughter,mrs boy band had been always kindly dispersed throughout eachan instrumentfees for his appearancereceive him was the simple professions of an affected benevolencethanking him for such an attention to her daughter
18,19-227-0018,though his heart was greatly relieved by such unlooked for mildness it was not just at that moment in his power to say anything to the purpose returning in silence to his seat therefore,love his heart was greatly relieved by such a note for my officeit was just at that moment in his power to say anything to the purposepertaining in silence to his seat therefore
19,19-227-0019,but her glowing cheek and brightened eye made her mother trust that this good natured visit would at least set her heart at ease for a time and gladly therefore did she lay aside the first volume of the mirror for a future hour,glowing cheek and brian i made her mother trust that this good-natured visitvirar east sector hard it is for a timeand therefore did she lay aside the first volume of the mirrorfuturama
20,19-227-0020,desirous of mister morland's assistance as well in giving encouragement as in finding conversation for her guest whose embarrassment on his father's account she earnestly pitied,dzire service tomorrowland assistanceas violin giving encouragement as in finding conversation for a guestattachment on his father's account she honestly 13
21,19-227-0021,missus morland had very early dispatched one of the children to summon him but mister morland was from home and being thus without any support at the end of a quarter of an hour she had nothing to say,fishes monument had vari dispatched one of the children to summon himmr morgan was from homeand ben 10 without any supportat the end of a quarter of an hour she has nothing to say
22,19-227-0022,after a couple of minutes unbroken silence henry turning to catherine for the first time since her mother's entrance asked her with sudden alacrity if mister and missus allen were now at fullerton,after a couple of minutes and broken silence henryturn into cancer in for the first time since in a sentencepasta with sun alacrityif mr and mrs allan when i had forgotten
23,19-227-0023,and on developing from amidst all her perplexity of words in reply the meaning which one short syllable would have given immediately expressed his intention of paying his respects to them and,and on the thing from the midst of republic city of words in reply the meaningwhich one shot sellable would have givenimmediate express intention of paying his respects to them and
24,19-227-0024,asked her if she would have the goodness to show him the way you may see the house from this window sir was information on sarah's side which produced only a bow of acknowledgment from the gentleman and a silencing nod from her mother,ask you if you have the goodness to show him the wayyou messi the house from this window sirinformation on server side which produced only about acknowledgment from the gentlemansilencing not from her mother
25,19-227-0025,for missus morland thinking it probable as a secondary consideration in his wish of waiting on their worthy neighbours that he might have some explanation to give of his father's behaviour,form a small and taking a probable as a secondary consideration in his ratio waiting on their neighbourshe might have some explanation to give but his father's behaviour
26,19-227-0026,which it must be more pleasant for him to communicate only to catherine would not on any account prevent her accompanying him they began their walk and missus morland was not entirely mistaken in his object in wishing it,it must be more pleasant for him to communicate on it to catherinewould not on any account provider company in himcan i walkand mrs morland was not entirely mistaken in his object in watching at
27,19-227-0027,some explanation on his father's account he had to give but his first purpose was to explain himself and before they reached mister allen's grounds he had done it so well that catherine did not think it could ever be repeated too often,some explanation on his father's account he had to give50 first purpose was to explain himselfmp4 direct mr island grounds he had done it so well that catherine did not think it could ever be repeated too often
28,19-227-0028,and delighted in all the excellencies of her character and truly loved her society i must confess that his affection originated in nothing better than gratitude or in other words that a persuasion of her partiality for him,hd light excellencies of the character and truly love the societyi must confess that is a fraction originated in nothing better than gratitudein other wordsmere persuasion of her partiality for him
29,19-227-0029,had been the only cause of giving her a serious thought it is a new circumstance in romance i acknowledge and dreadfully derogatory of an heroine's dignity but if it be as new in common life,hibernoma cause of giving hysteria spartit is a new circumstances and romance college and dreadful interrogatory adherence dignityif it has new income in wife
